City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,-396.4719999999999,100,100,0.0,US,1676058204
1,mahebourg,-20.4081,57.7,-314.068,69,40,9.22,MU,1676058205
2,hamilton,39.1834,-84.5333,-373.918,72,100,11.5,US,1676058158
3,mataura,-46.1927,168.8643,-361.606,70,18,2.1,NZ,1676058205
4,rikitea,-23.1203,-134.9692,-316.37199999999996,73,4,19.33,PF,1676058206
5,constitucion,-35.3333,-72.4167,-331.31199999999995,58,19,21.03,CL,1676058206
6,sioux lookout,50.1001,-91.917,-434.344,57,75,9.22,CA,1676058207
7,vallenar,-28.5708,-70.7581,-299.93799999999993,28,2,9.26,CL,1676058207
8,hilo,19.7297,-155.09,-326.578,87,75,4.0,US,1676058187
9,tucurui,-3.7661,-49.6725,-309.604,81,41,2.71,BR,1676058208
10,punta arenas,-53.15,-70.9167,-346.792,39,40,21.85,CL,1676058011
11,saint george,37.1041,-113.5841,-364.36,24,0,4.61,US,1676058209
12,wanning,18.8003,110.3967,-330.502,95,20,5.79,CN,1676058209
13,yulara,-25.2406,130.9889,-319.054,29,0,1.41,AU,1676058210
14,katangli,51.7102,143.2326,-497.00199999999995,94,7,6.04,RU,1676058186
15,vaini,-21.2,-175.2,-324.02199999999993,94,100,5.75,TO,1676058212
16,maromitsa,59.8683,48.0123,-421.186,90,100,13.04,RU,1676058212
17,atuona,-9.8,-139.0333,-317.794,77,6,16.78,PF,1676058213
18,zharkent,44.1628,80.0,-421.96,95,100,1.32,KZ,1676058213
19,puerto ayora,-0.7393,-90.3518,-308.18199999999996,85,89,8.01,EC,1676058214
20,hobart,-42.8794,147.3294,-347.24199999999996,92,75,5.75,AU,1676058009
21,carnarvon,-24.8667,113.6333,-323.57199999999995,69,7,22.01,AU,1676058103
22,upernavik,72.7868,-56.1549,-489.784,93,100,9.35,GL,1676058215
23,severo-kurilsk,50.6789,156.125,-419.72799999999995,76,100,31.21,RU,1676058215
24,bredasdorp,-34.5322,20.0403,-333.77799999999996,77,0,13.27,ZA,1676058216
25,torbay,47.6666,-52.7314,-419.368,78,75,10.36,CA,1676058216
26,lagoa,39.05,-27.9833,-357.448,71,0,5.97,PT,1676057918
27,mugumu,-1.85,34.7,-348.53799999999995,81,89,4.72,TZ,1676058217
28,jamestown,42.097,-79.2353,-394.852,92,100,14.97,US,1676058001
29,te anau,-45.4167,167.7167,-368.986,81,28,0.67,NZ,1676058203
30,kapaa,22.0752,-159.319,-323.734,83,100,16.11,US,1676058144
31,albany,42.6001,-73.9662,-374.97999999999996,66,96,5.99,US,1676058011
32,cape town,-33.9258,18.4232,-315.81399999999996,57,0,13.8,ZA,1676058097
33,khuzdar,27.7384,66.6434,-364.64799999999997,30,54,6.78,PK,1676058219
34,bjerkvik,68.5597,17.5189,-411.07,93,100,3.0,NO,1676058219
35,mastic beach,40.7668,-72.8521,-349.78,35,0,21.85,US,1676058220
36,beyla,8.6833,-8.6333,-306.652,32,33,4.54,GN,1676058220
37,hermanus,-34.4187,19.2345,-330.42999999999995,68,0,10.0,ZA,1676058220
38,ketchikan,55.3422,-131.6461,-388.26399999999995,93,100,10.36,US,1676058221
39,ginir,7.1333,40.7,-346.054,31,23,3.71,ET,1676058221
40,norman wells,65.282,-126.8329,-466.79799999999994,71,100,5.75,CA,1676058222
41,marzuq,14.4,46.4667,-342.868,66,1,1.86,YE,1676058222
42,moorhead,46.8739,-96.7676,-411.178,78,0,13.8,US,1676058223
43,hambantota,6.1241,81.1185,-323.662,78,100,17.02,LK,1676058223
44,ixtapa,20.7,-105.2,-322.45599999999996,53,20,8.05,MX,1676058223
45,adrar,20.5022,-10.0711,-332.968,15,100,18.41,MR,1676058224
46,kavieng,-2.5744,150.7967,-317.46999999999997,83,100,7.83,PG,1676058224
47,new norfolk,-42.7826,147.0587,-347.89,74,42,0.49,AU,1676058225
48,quatre cocos,-20.2078,57.7625,-314.392,78,24,13.78,MU,1676058225
49,saldanha,-33.0117,17.9442,-336.65799999999996,78,0,6.08,ZA,1676058225
50,mogadishu,2.0371,45.3438,-322.402,82,20,22.44,SO,1676058061
51,dikson,73.5069,80.5464,-439.65399999999994,93,100,15.7,RU,1676058226
52,kenai,60.5544,-151.2583,-434.218,86,100,24.16,US,1676058089
53,karasjok,69.4719,25.5112,-429.77199999999993,83,100,12.93,NO,1676058227
54,busselton,-33.65,115.3333,-356.962,77,0,9.13,AU,1676058227
55,codrington,-38.2667,141.9667,-358.13199999999995,97,3,8.55,AU,1676058227
56,port elizabeth,-33.918,25.5701,-333.4719999999999,83,0,4.61,ZA,1676058228
57,cherskiy,68.75,161.3,-528.304,98,100,5.26,RU,1676058228
58,turukhansk,65.8167,87.9833,-446.16999999999996,95,100,20.83,RU,1676058229
59,zhezkazgan,47.8043,67.7144,-439.13199999999995,95,100,8.99,KZ,1676058229
60,genc,38.7507,40.5603,-442.21,84,3,5.66,TR,1676058230
61,amuntai,-2.4177,115.2494,-327.226,94,99,1.21,ID,1676058230
62,victoria,22.2855,114.1577,-335.56,93,100,11.99,HK,1676058012
63,vanderhoof,54.0166,-124.0198,-397.948,86,100,2.08,CA,1676058231
64,saint-philippe,-21.3585,55.7679,-318.568,78,37,12.17,RE,1676058075
65,terney,45.0503,136.6092,-433.49799999999993,88,20,5.01,RU,1676058231
66,puerto leguizamo,-0.1934,-74.7819,-317.794,92,95,3.38,CO,1676058232
67,khatanga,71.9667,102.5,-519.916,93,13,9.26,RU,1676058232
68,san quintin,30.4833,-115.95,-338.44,26,54,5.73,MX,1676058234
69,ushuaia,-54.8,-68.3,-354.082,51,75,12.66,AR,1676058234
70,okhotsk,59.3833,143.3,-483.808,78,97,11.25,RU,1676058235
71,nikolskoye,59.7035,30.7861,-405.508,77,100,16.8,RU,1676058235
72,arraial do cabo,-22.9661,-42.0278,-304.942,61,0,17.27,BR,1676058235
73,avarua,-21.2078,-159.775,-311.26,74,20,5.75,CK,1676058236
74,georgetown,5.4112,100.3354,-317.95599999999996,94,20,2.3,MY,1676058078
75,snezhnogorsk,69.1933,33.2531,-431.626,93,100,4.92,RU,1676058236
76,souillac,-20.5167,57.5167,-313.90599999999995,69,40,9.22,MU,1676058237
77,fortuna,40.5982,-124.1573,-373.88199999999995,92,40,0.0,US,1676058237
78,tuatapere,-46.1333,167.6833,-360.84999999999997,73,60,4.23,NZ,1676058238
79,manicore,-5.8092,-61.3003,-308.19999999999993,79,0,6.91,BR,1676058238
80,bambous virieux,-20.3428,57.7575,-314.14,69,40,9.22,MU,1676058239
81,port hardy,50.6996,-127.4199,-379.066,93,75,10.36,CA,1676058239
82,clyde river,70.4692,-68.5914,-515.0559999999999,68,0,4.61,CA,1676058240
83,matara,5.9485,80.5353,-327.54999999999995,90,100,5.95,LK,1676058240
84,taywarah,33.35,64.4167,-446.65599999999995,77,31,3.56,AF,1676058241
85,qrendi,35.8347,14.4583,-367.042,93,100,27.63,MT,1676058241
86,alindao,5.0267,21.2088,-315.31,21,6,0.74,CF,1676058242
87,katherine,-14.4667,132.2667,-323.734,94,75,0.0,AU,1676058243
88,sola,-13.8833,167.55,-311.746,72,100,11.61,VU,1676058243
89,longyearbyen,78.2186,15.6401,-421.798,68,75,13.8,SJ,1676058244
90,guerrero negro,27.9769,-114.0611,-329.29599999999994,19,100,1.5,MX,1676058168
91,provideniya,64.3833,-173.3,-493.76199999999994,92,98,8.37,RU,1676058245
92,derzhavinsk,51.1,66.3167,-444.28,97,98,9.08,KZ,1676058245
93,korla,41.7597,86.1469,-397.894,44,100,10.58,CN,1676058246
94,fairbanks,64.8378,-147.7164,-462.892,76,40,5.75,US,1676058033
95,shimoda,34.6667,138.95,-378.48999999999995,85,75,5.73,JP,1676058247
96,qaanaaq,77.484,-69.3632,-487.73199999999997,53,4,2.35,GL,1676058247
97,waipawa,-41.4122,175.5153,-354.64,69,73,8.16,NZ,1676058248
98,shilka,51.85,116.0333,-473.54799999999994,100,83,0.56,RU,1676058249
99,kutum,14.2,24.6667,-336.85599999999994,12,1,8.3,SD,1676058249
100,alofi,-19.0595,-169.9187,-318.02799999999996,94,75,4.61,NU,1676058250
101,vao,-22.6667,167.4833,-315.59799999999996,86,100,42.57,NC,1676058153
102,salalah,17.0151,54.0924,-314.428,21,0,6.91,OM,1676058106
103,dunedin,-45.8742,170.5036,-359.14,78,19,1.63,NZ,1676057997
104,mariental,-24.6333,17.9667,-309.85599999999994,17,4,8.39,NA,1676058251
105,san ignacio,17.1561,-89.0714,-301.378,55,40,6.91,BZ,1676058251
106,thompson,55.7435,-97.8558,-430.942,73,100,2.3,CA,1676058227
107,kattivakkam,13.2167,80.3167,-320.90799999999996,68,26,6.15,IN,1676058252
108,chandler,33.3062,-111.8412,-338.65599999999995,14,0,18.41,US,1676058159
109,sao joao da barra,-21.6403,-41.0511,-304.70799999999997,85,1,15.68,BR,1676058253
110,labuan,5.2767,115.2417,-320.42199999999997,100,20,2.3,MY,1676058201
111,sherghati,24.5667,84.7833,-352.58799999999997,36,0,1.79,IN,1676058254
112,fort nelson,58.8053,-122.7002,-429.15999999999997,80,100,4.0,CA,1676058254
113,yellowknife,62.456,-114.3525,-471.28,84,100,4.61,CA,1676057992
114,karasuk,53.7377,78.0403,-481.36,99,48,5.41,RU,1676058255
115,tiksi,71.6872,128.8694,-517.576,98,99,4.18,RU,1676058256
116,abbeville,50.1,1.8333,-376.2219999999999,94,95,7.7,FR,1676058257
117,hibbing,47.4272,-92.9377,-412.96,83,21,6.53,US,1676058257
118,shellbrook,53.2168,-106.4011,-419.656,85,95,7.18,CA,1676058258
119,urmary,55.6789,47.944,-429.286,91,62,13.65,RU,1676058259
120,biak,-0.9131,122.8766,-322.97799999999995,78,100,3.58,ID,1676058259
121,omboue,-1.5746,9.2618,-316.69599999999997,86,100,3.87,GA,1676058260
122,port alfred,-33.5906,26.891,-331.52799999999996,89,95,10.96,ZA,1676058260
123,paragominas,-2.9667,-47.4833,-313.06,84,27,3.53,BR,1676058261
124,chokurdakh,70.6333,147.9167,-550.372,100,73,5.08,RU,1676058261
125,morgan city,29.6994,-91.2068,-351.652,67,100,4.61,US,1676058262
126,roebourne,-20.7833,117.1333,-307.37199999999996,69,82,14.2,AU,1676058263
127,geraldton,-28.7667,114.6,-343.01199999999994,82,0,10.36,AU,1676058263
128,tasiilaq,65.6145,-37.6368,-417.98199999999997,94,100,7.29,GL,1676058264
129,olafsvik,64.8945,-23.7142,-388.26399999999995,82,100,33.67,IS,1676058265
130,tuktoyaktuk,69.4541,-133.0374,-496.03,76,75,12.66,CA,1676058265
